City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Wahiawa,US,21.5028,-158.0236,80.92,61,75,16.11,broken clouds
301,Karratha,AU,-20.7377,116.8463,80.58,36,26,18.14,scattered clouds
302,Sukumo,JP,32.9333,132.7333,80.19,54,100,3.44,overcast clouds
303,Cockburn Town,TC,21.4612,-71.1419,79.84,79,8,21.34,clear sky
304,Lambarene,GA,-0.7001,10.2406,74.73,97,100,1.21,overcast clouds
305,Juruti,BR,-2.1522,-56.0922,79.93,73,89,4.07,overcast clouds
306,Ankazoabo,MG,-22.2833,44.5167,60.84,72,27,9.86,scattered clouds
307,Russell,US,32.3502,-85.1999,76.23,94,90,3.44,overcast clouds
308,Bilma,NE,18.6853,12.9164,87.57,18,99,8.34,overcast clouds
309,Jeremie,HT,18.65,-74.1167,79.59,78,1,2.62,clear sky
310,Marica,BR,-22.9194,-42.8186,76.91,82,5,6.2,clear sky
311,Aksarka,RU,66.5606,67.7975,39.47,52,4,4.99,clear sky
312,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,46,0,23.02,clear sky
313,Komsomolskiy,UZ,40.4272,71.7189,77.72,33,77,2.3,broken clouds
314,Claremore,US,36.3126,-95.6161,77.97,75,1,3.0,clear sky
315,Tuy Hoa,VN,13.0833,109.3,85.12,67,100,11.16,overcast clouds
316,Zhezkazgan,KZ,47.8043,67.7144,66.52,24,29,13.18,scattered clouds
317,Bawku,GH,11.0616,-0.2417,81.7,59,99,3.13,overcast clouds
318,Avera,US,33.194,-82.5271,75.25,94,100,8.95,moderate rain
319,Commerce,US,34.0006,-118.1598,78.87,62,1,1.99,clear sky
320,Minas,UY,-34.3759,-55.2377,46.87,92,79,6.44,broken clouds
321,Leningradskiy,RU,69.3833,178.4167,43.83,64,14,17.92,few clouds
322,Oriximina,BR,-1.7656,-55.8661,80.94,71,92,3.98,overcast clouds
323,Pampas,PE,-12.4,-74.9,48.56,88,83,0.31,broken clouds
324,Isangel,VU,-19.55,169.2667,74.98,57,100,11.39,overcast clouds
325,Anloga,GH,5.7947,0.8973,80.82,80,58,9.22,broken clouds
326,Esso,RU,55.9333,158.7,47.35,86,100,3.0,overcast clouds
327,Cukai,MY,4.25,103.4167,82.54,67,100,6.98,overcast clouds
328,Briceni,MD,48.3572,27.7036,52.75,89,56,6.11,broken clouds
329,Biltine,TD,14.5333,20.9167,86.67,17,100,6.29,overcast clouds
330,Mondlo,ZA,-27.983,30.7177,40.93,91,0,4.32,clear sky
331,Katherine,AU,-14.4667,132.2667,80.92,50,40,7.85,scattered clouds
332,Broome,US,42.2506,-75.833,78.8,66,84,3.67,broken clouds
333,Coquimbo,CL,-29.9533,-71.3436,55.13,87,90,2.19,overcast clouds
334,Rawson,AR,-43.3002,-65.1023,47.84,55,28,19.22,scattered clouds
335,Tabriz,IR,38.08,46.2919,62.06,48,0,9.22,clear sky
336,Novogurovskiy,RU,54.4678,37.3428,54.99,98,76,6.26,broken clouds
